source,target,weight,chapter_count,chapters,sample_evidence,relation_definition
李肃,王允,5,1,9,"Chapter 9, P009-011: 次日，李肃引十数骑，前到郿坞。人报天子有诏，卓叫唤入。李肃入拜。卓曰：「天子有何诏？」肃曰：「天子病体新痊，欲会文武于未央殿，议将禅位于太师，故有此诏。」卓曰：「王允之意若何？」肃曰：「王司徒已命人筑『受禅台』，只等主公来。」卓大喜曰：「吾夜梦一龙罩身，今果得此喜信。时哉不可失！」便命心腹将李傕，郭汜，张济，樊稠，四人领飞熊军三千守郿坞，自己即日排驾回京；顾谓李肃曰：「吾为帝，汝当为执金吾。」肃拜谢称臣。 || Chapter 9, P009-015: 次日侵晨，董卓摆列仪从入朝，忽见一道人，青袍白巾，手执长竿，上䌸布一丈，两头各书一「口」字。卓问肃曰：「此道人何意？」肃曰：「乃心恙之人也。」呼将士驱去。卓进朝，群臣各具朝服，迎谒于道。李肃手执宝剑扶车而行。到北掖门，军兵尽挡在门外，独有御车二十余人同入。董卓遥见王允等各执宝剑立于殿门，惊问肃曰：「持剑是何意？」 || Chapter 9, P009-016: 肃不应，推车直入。王允大呼曰：「反贼至此，武何在？」两旁转出百余人，持戟挺槊刺之。卓裹甲不入，伤臂堕车，大呼曰：「吾儿奉先何在？」吕布从车后厉声出曰：「有诏讨贼！」一戟直刺咽喉，李肃早割头在手。吕布左手持戟，右手怀中取诏，大呼曰：「奉诏讨贼臣董卓，其余不问！」将吏皆呼万岁。后人有诗叹董卓曰：",same_body_paragraph
法正,赵云,5,5,60;64;65;71;73,"Chapter 60, P060-023: 正商议间，一人自外突入，汗流满面，大叫曰：「主公若听张松之言，则四十一州郡，已属他人矣！」松大惊；视其人，乃西阆中巴人，姓黄，名权，字公衡，现为刘璋府下主簿。璋问曰：「玄德与我同宗，吾故结之为援；汝何出此言？」权曰：「某素知刘备宽以待人，柔能克刚，英雄莫敌。远得人心，近得民望。兼有诸葛亮，庞统之智谋，关，张，赵云，黄忠，魏延为羽翼。若召到蜀中，以部曲待之，刘备岂肯伏低做小？若以客礼待之，又一国不容二主。今听臣言，则西蜀有泰山之安；不听臣言，则主公有累卵之危矣。张松昨从荆州过，必与刘备同谋。可先斩张松，后绝刘备，则西川万幸也。」璋曰：「曹操，张鲁到来，何以拒之？」权曰：「不如闭境绝塞，棎沟高垒，以待时清。」璋曰：「贼兵犯界，有燃眉之急；若待时清，则是慢计也。」遂不从其言，遣法正行。又一人阻曰：「不可！不可！」 || Chapter 64, P064-024: 张飞，赵云领命，各自引兵去了。孔明问：「前去有何处关隘？」蜀中降将曰：「止绵竹有重兵守御，若得绵竹，成都唾手可得。」孔明便商议进兵。法正曰：「雒城既破，蜀中危矣。主公欲以仁义服众，且勿进兵。某作一书上刘璋，陈说利害，璋自然降矣。」孔明曰：「孝直之言最善。」便令写书遣人迳往成都。 || Chapter 65, P065-027: 玄德从之，设一大宴，请刘璋收拾财物，佩领振威将军印绶，将妻子良贱，尽赴南郡公安住歇，即日起行。玄德自领益州牧，其所降文武，尽皆重赏，定拟名爵。严颜为前将军，法正为蜀郡太守，董和为掌军中郎将，许靖为左将军长史，庞义为营中司马，刘巴为左将军，黄权为右将军。其余吴懿，费观，彭羕，卓膺，李严，吴兰，雷同，李恢，张翼，秦宓，谯周，吕义，霍峻，邓芝，杨洪，周群，费袆，费诗，孟达，……文武投降官员，共六十余人，并皆擢用。诸葛亮军师，关云长为荡寇将军汉寿亭侯，张飞为征远将军新亭侯，赵云为镇远将军，黄忠为征西将军，魏延为扬武将军，马超为平西将军。孙干，简雍，糜竺、糜芳，刘封，关平，周仓，廖化，马良，马谡，蒋琬，伊籍，及旧日荆襄一班文武官员，尽皆升赏。遣使赍黄金五百斤，白银一千斤，钱五千万，蜀锦一千疋，赐与云长。其余官将，给赐有差。杀牛宰马，大饷士卒，开仓赈济百姓，军民大悦。",same_body_paragraph
程昱,许褚,5,4,12;14;21;23,"Chapter 12, P012-020: 曹操复得兖州，程昱便请进兵取濮阳。操令许褚、典韦为先锋，夏侯惇、夏侯渊为左军，李典、乐进为右军，操自领中军，于禁、吕虔为合后。兵至濮阳，吕布欲自将出迎，陈宫谏：「不可出战。待众将聚会后方可。」吕布曰：「吾怕谁来？」遂不听宫言，引兵出阵，横戟大骂。许褚便出。斗二十合，不分胜负。操曰：「吕布非一人可胜。」便差典韦助战，两将夹攻。左边夏侯惇、夏侯渊，右边李典、乐进齐到，六员将共攻吕布。布遮拦不住，拨马回城。城上田氏，见布败回，急令人拽起吊桥。布大叫：「开门！」田氏曰：「吾已降曹将军。」 || Chapter 14, P014-022: 操自封为大将军武平侯，以荀彧为侍中尚书令；荀攸为军师；郭嘉为司马祭酒；刘晔为司空掾曹；毛玠，任峻为典农中郎将，催督钱粮；程昱为东平相，范成，董昭为洛阳令；满宠为许都令；夏侯惇，夏侯渊，曹仁，曹洪皆为将军；吕虔，李典，乐进，于禁，徐晃，皆为校尉；许褚，典韦，皆为都尉；其余将士，各各封官。自此大权皆归于曹操。朝廷大务，先禀曹操，然后方奏天子。 || Chapter 21, P021-016: 次日，玄德面奏献帝。操令玄德总督五万人马，又差朱灵、路昭二人同行。玄德辞帝，帝泣送之。玄德到寓，星夜收拾军军器鞍马，挂了将军印，催促便行。董承赶出十里长亭来送。玄德曰：「国舅忍耐，某次行必有以报命。」承曰：「公宜留意，勿负帝心。」二人分别。关，张在马上问曰：「兄今番出征，何故如此慌速？」玄德曰：「吾乃笼中鸟，网中鱼。此一行如鱼入大海，鸟上青霁，不受笼网之羁绊也。」因命关，张催朱灵，路昭，军马速行。时郭嘉，程昱，考较钱粮方回，知曹操已遣玄德进兵徐州，慌入谏曰：「丞相何故令刘备督军？」操曰：「欲截袁术耳。」程昱曰：「昔刘备为豫州牧时，某等请杀之，丞相不听；今日又与之兵，此放龙入海，纵虎归山也。后欲治之，其可得乎？」郭嘉曰：「丞相纵不杀备，亦不当使之去。古人云：『一日纵敌，万世之患。』望丞相察之。」操然其言，遂令许褚将兵五百前往，务要追玄德转来。许褚应诺而去。",same_body_paragraph
荀彧,荀攸,5,5,10;14;19;23;66,"Chapter 10, P010-011: 操在兖州，招贤纳士。有叔姪二人来投曹操：乃颖川颖阴人：姓荀，名彧，字文若，荀昆之子也；旧事袁绍，今弃绍投操；操与语大悦，曰：「此吾之子房也！」遂以为行军司马。其姪荀攸，字公达，海内名士，曾拜黄门侍郎，后弃官归乡，今与其叔同投曹操，操以为行军教授。荀彧曰：「某闻兖州有一贤士，今此人知何在。」操问是谁，彧曰：「乃东郡东阿人：姓程，名昱，字仲德。」操曰：「吾亦闻名久矣。」遂遣人于乡中寻问。访得他在山中读书，操拜请之。程昱来见，曹操大喜。 || Chapter 14, P014-022: 操自封为大将军武平侯，以荀彧为侍中尚书令；荀攸为军师；郭嘉为司马祭酒；刘晔为司空掾曹；毛玠，任峻为典农中郎将，催督钱粮；程昱为东平相，范成，董昭为洛阳令；满宠为许都令；夏侯惇，夏侯渊，曹仁，曹洪皆为将军；吕虔，李典，乐进，于禁，徐晃，皆为校尉；许褚，典韦，皆为都尉；其余将士，各各封官。自此大权皆归于曹操。朝廷大务，先禀曹操，然后方奏天子。 || Chapter 19, P019-030: 却说曹操攻城，两月不下，忽报：「河内太守张扬出兵东市，欲救吕布；部将杨丑杀之，欲将头献丞相，欲被张扬心腹将眭固所杀，反投大城去了。」操闻报，即遣史涣追斩眭固。因聚众将曰：「张扬虽幸自灭，然北有袁绍之忧，东有表、绣之患，下邳久围不克。吾欲舍布还都，暂且息战，何如？」荀攸急止曰：「不可，吕布屡败，锐气已堕。军以将为主，将衰则军无战心。彼陈宫虽有谋而迟，今布之气未复，宫之谋未定，作速政之，布可擒也。」郭嘉曰：「某有一计，下邳城可立破，胜于二十万师。」荀彧曰：「莫非决沂、泗之水乎？」嘉笑曰：「正是此意。」",same_body_paragraph
荀攸,袁绍,5,4,10;18;19;30,"Chapter 10, P010-011: 操在兖州，招贤纳士。有叔姪二人来投曹操：乃颖川颖阴人：姓荀，名彧，字文若，荀昆之子也；旧事袁绍，今弃绍投操；操与语大悦，曰：「此吾之子房也！」遂以为行军司马。其姪荀攸，字公达，海内名士，曾拜黄门侍郎，后弃官归乡，今与其叔同投曹操，操以为行军教授。荀彧曰：「某闻兖州有一贤士，今此人知何在。」操问是谁，彧曰：「乃东郡东阿人：姓程，名昱，字仲德。」操曰：「吾亦闻名久矣。」遂遣人于乡中寻问。访得他在山中读书，操拜请之。程昱来见，曹操大喜。 || Chapter 18, P018-022: 却说简雍至许都见曹操，具言前事。操即聚众谋士议曰：「吾欲攻吕布，不忧袁绍掣肘，只恐刘表、张绣扰其后耳。」荀攸曰：「二人新破，未敢轻动。吕布骁勇，若更结连袁术，纵横淮、泗，急难图矣。」郭嘉曰：「今可乘其初叛，众心未附疾往击之。」 || Chapter 19, P019-030: 却说曹操攻城，两月不下，忽报：「河内太守张扬出兵东市，欲救吕布；部将杨丑杀之，欲将头献丞相，欲被张扬心腹将眭固所杀，反投大城去了。」操闻报，即遣史涣追斩眭固。因聚众将曰：「张扬虽幸自灭，然北有袁绍之忧，东有表、绣之患，下邳久围不克。吾欲舍布还都，暂且息战，何如？」荀攸急止曰：「不可，吕布屡败，锐气已堕。军以将为主，将衰则军无战心。彼陈宫虽有谋而迟，今布之气未复，宫之谋未定，作速政之，布可擒也。」郭嘉曰：「某有一计，下邳城可立破，胜于二十万师。」荀彧曰：「莫非决沂、泗之水乎？」嘉笑曰：「正是此意。」",same_body_paragraph
荀攸,郭嘉,5,5,14;18;19;23;33,"Chapter 14, P014-022: 操自封为大将军武平侯，以荀彧为侍中尚书令；荀攸为军师；郭嘉为司马祭酒；刘晔为司空掾曹；毛玠，任峻为典农中郎将，催督钱粮；程昱为东平相，范成，董昭为洛阳令；满宠为许都令；夏侯惇，夏侯渊，曹仁，曹洪皆为将军；吕虔，李典，乐进，于禁，徐晃，皆为校尉；许褚，典韦，皆为都尉；其余将士，各各封官。自此大权皆归于曹操。朝廷大务，先禀曹操，然后方奏天子。 || Chapter 18, P018-022: 却说简雍至许都见曹操，具言前事。操即聚众谋士议曰：「吾欲攻吕布，不忧袁绍掣肘，只恐刘表、张绣扰其后耳。」荀攸曰：「二人新破，未敢轻动。吕布骁勇，若更结连袁术，纵横淮、泗，急难图矣。」郭嘉曰：「今可乘其初叛，众心未附疾往击之。」 || Chapter 19, P019-030: 却说曹操攻城，两月不下，忽报：「河内太守张扬出兵东市，欲救吕布；部将杨丑杀之，欲将头献丞相，欲被张扬心腹将眭固所杀，反投大城去了。」操闻报，即遣史涣追斩眭固。因聚众将曰：「张扬虽幸自灭，然北有袁绍之忧，东有表、绣之患，下邳久围不克。吾欲舍布还都，暂且息战，何如？」荀攸急止曰：「不可，吕布屡败，锐气已堕。军以将为主，将衰则军无战心。彼陈宫虽有谋而迟，今布之气未复，宫之谋未定，作速政之，布可擒也。」郭嘉曰：「某有一计，下邳城可立破，胜于二十万师。」荀彧曰：「莫非决沂、泗之水乎？」嘉笑曰：「正是此意。」",same_body_paragraph
董卓,郭汜,5,4,3;6;9;10,"Chapter 3, P003-002: 却说前将军鳌乡侯西凉刺史董卓，先为破黄巾无功，朝廷将治其罪，因贿赂十常侍幸免；后又结托朝贵，遂任显官，统西州大军二十万，常有不臣之心。是时得诏大喜，点起军马，陆续便行；使其婿中郎将牛辅，守住陕西，自己却带李傕、郭汜、张济、樊稠等提兵望洛阳进发。卓婿谋士李儒曰：「今虽奉诏，中间多有暗昧。何不差人上表，名正言顺，大事可图。」卓大喜，遂上表。其略曰：窃闻天下所以乱逆不止者，皆由黄门常侍张让等侮慢天常之故。臣闻扬汤止沸，不如去薪；溃痈虽痛，胜于养毒。臣敢鸣钟鼓入洛阳，请除让等。社稷幸甚！天下幸甚！ || Chapter 6, P006-010: 且说董卓行至荥阳地方，太守徐荣出接。李儒曰：「丞相新弃洛阳，防有追兵。可教徐荣伏军荥阳城外山坞之旁：若有兵追来，可竟放过；待我这里杀败，然后截住掩杀。令后来者不敢复追。」卓从其计，又令吕布引精兵遏后。布正行间，曹操一军赶上。吕布大笑曰：「不出李儒所料也」！将军马摆开。曹操出马，大叫：「逆贼！劫迁天子，流徙百姓，将欲何往？」吕布骂曰：「背主懦夫，何得妄言！」夏侯惇挺鎗跃马，直取吕布。战不数合，李傕引一军，从左边杀来，操急令夏侯渊迎敌。右边喊声又起，郭汜引军杀到，操急令曹仁迎敌。三路军马，势不可当。夏侯惇抵敌吕布不住，飞马回阵。布引铁骑掩杀，操军大败，回望荥阳而走。走至一荒山脚下，时约二更，月明如昼。方才聚集残兵。 || Chapter 9, P009-019: 却说李傕，郭汜，张济，樊稠闻董卓已死，吕布将至，便引了飞熊军连夜奔凉州去了。吕布至郿坞，先取了绍蝉。皇甫嵩命将坞中所藏良家子女，尽行释放。但系董卓亲属，不分老幼，悉皆诛戮。卓母亦被杀。卓弟董旻、姪董璜皆斩首号令。收籍坞中所蓄黄金数十万，绮罗、珠宝、器皿、粮食不计其数，回报王允。允乃大犒军士，设宴于都堂，召集众官，酌酒称庆。",same_body_paragraph
袁绍,陈宫,5,4,11;13;15;19,"Chapter 11, P011-019: 正商议间，忽流星马飞报「祸事！」。操问其故，报说吕布已袭破兖州，进据濮阳。原来吕布自遭李、郭之乱，逃出武关，去投袁术；术怪吕布反复不定，拒而不纳。投袁绍，绍纳之，与布共破张燕于常山；布自以为得志，傲慢袁绍手下将士。绍欲杀之，布乃去投张扬，扬纳之。时庞舒在长安城中，私藏吕布妻小，送还吕布。李傕、郭汜知之，遂斩庞舒，写书与张扬，教杀吕布；布因弃张扬去投张邈。恰好张邈弟张超引陈宫来见张邈。宫说邈曰：「今天下分崩，英雄并起，君以千里之众，而反受制于人，不亦鄙乎！今曹操征东，兖州空虚，而吕布乃当世勇士，若与之共取兖州，伯业可图也。」张邈大喜，便令吕布袭破兖州，随据濮阳。止有鄄城，东阿，范县三处，被荀彧、程昱设计死守得全，其余俱破。曹仁屡战，皆不能胜，特此告急。 || Chapter 13, P013-001: 却说曹操大破吕布于定陶，布乃收集败残军马于海滨，众将皆来会集，欲再与曹操决战。陈宫曰：「今曹兵势大，未可与争；先寻取安身之地，那时再来未迟。」布曰：「吾欲再投袁绍，何如？」宫曰：「先使人往冀州探听消息，然后可去。」布从之。 || Chapter 13, P013-002: 且说袁绍在冀州，闻知曹操与吕布相持，谋士审配进曰：「吕布，豺虎也：若得兖州，必图冀州。不若助操攻之，方可无患。」绍遂遣颜良将兵五万，往助曹操。细作探知这个消息，飞报吕布。布大惊，与陈宫商议。宫曰：「闻刘玄德新领徐州，可往投之。」布从其言，竟投徐州来。",same_body_paragraph
袁绍,马腾,5,5,5;21;23;24;120,"Chapter 5, P005-008: 第一镇，后将军南阳太守袁术。第二镇，冀州刺史韩馥。第三州镇，豫州刺史孔。第四镇，兖州刺史刘岱。第五镇，河内郡太守王匡。第六镇，陈留太守张邈。第七镇，东郡太守乔瑁。第八镇，山阳太守刘遗。第九镇，济北相鲍信。第十镇，北海太守孔融。第十一镇，广陵太守张超。第十二镇，徐州刺史陶谦。第十三镇，西凉太守马腾。第十四镇，北平太守公孙瓒。第十五镇，上党太守张杨。第十六镇，乌程侯长沙太守孙坚。第十七镇，祁乡侯渤海太守袁绍。诸路军马，少不等，一有三万者，有一二万者一，各领文官武将，投洛阳来。 || Chapter 21, P021-019: 却说马腾见玄德已去，边报又急，亦回西凉州去了。玄德兵至徐州，刺史车胄出迎。公宴毕，孙干，糜竺，等都来参见。玄德回家探视老小，一面差人探听袁术。探子回报：「袁术奢侈太过，雷薄，陈兰，皆投嵩山去了。术声势甚衰，乃作书让帝号于袁绍，绍命人召术，术乃收拾人马，宫禁御用之物，先到徐州来。」 || Chapter 23, P023-019: 时值元宵，吉平辞去，承留住，二人共饮。饮至更余，承觉困倦，就和衣而睡。忽报王子服等四人至，承出接入。服曰：「大事谐矣！」承曰：「愿闻其说。」服曰：「刘表结连袁绍，起兵五十万，共分十路杀来。马腾结连韩遂，起西凉军七十二万，从北杀来。曹操尽起许昌兵马，分头迎敌，城中空虚。若聚五家僮仆，可得千余人。乘今夜府中大宴，庆赏元宵，将府围住，突入杀之。不可失此机会！」",same_body_paragraph
许褚,诸葛亮,5,3,40;41;42,"Chapter 40, P040-002: 却说夏侯惇败回许昌，自缚见曹操，伏地请死。操释之。惇曰：「惇遭诸葛亮诡计，用火攻破我军。」操曰：「汝自幼用兵，岂不知狭处须防火攻？」惇曰：「李典、于禁曾言及此，悔之不及！」操乃赏二人。惇曰：「刘备如此猖獗，真腹心之患也，不可不急除。」操曰：「吾所虑者，刘备、孙权耳。余皆不足介意。今当乘此时扫平江南。」便传令起大兵五十万，令曹仁、曹洪，为第一队；张辽、张郃，为第二队；夏侯渊、夏侯惇，为第三队；于禁、李典，为第四队；操自领诸将为第五队。每队各引兵十万。又令许褚为折冲将军，引兵三千为先锋。选定建安十三年秋七月丙午日出师。 || Chapter 40, P040-027: 许褚复回坡前，提兵杀入。至林下追寻时，不见一人。时日已坠西，许褚方欲前进，只听得山上大吹大擂。抬头看时，只见山顶上一簇旗，旗丛中两把伞盖，左玄德，右孔明，二人对坐饮酒。许褚大怒，引军寻路上山。山上擂木砲石打将下来，不能前进。又闻山后喊声大震，欲寻路厮杀，天色已晚。 || Chapter 41, P041-001: 却说张飞因关公放了上流水，遂引军从下流杀将来，截住曹仁混杀。忽遇许褚，便与交锋。许褚不敢恋战，夺路走脱。张飞赶来，接著玄德、孔明，一同沿河到上流。刘封、糜芳，已安排船只等候，遂一齐渡河，尽望樊城而去。孔明教将船筏放火烧毁。",same_body_paragraph
诸葛亮,邓艾,5,5,111;113;115;117;120,"Chapter 111, P111-001: 却说姜维退兵屯于钟堤，魏兵屯于狄道城外。王经迎接陈泰、邓艾入城，拜谢解围之事，设宴相待，大赏三军。泰将邓艾之功，申奏魏主曹髦。髦封艾为安西将军，假节领护东羌校尉，同陈泰屯兵于雍、凉等处。邓艾上表谢恩毕，陈泰设宴与邓艾拜贺曰：「姜维夜遁，其力已竭，不敢再出矣。」艾笑曰：「吾料蜀兵其必出有五。」泰问其故。艾曰：「蜀兵虽退，终有乘胜之势；吾兵终有弱败之实：其必出一也。蜀兵皆是孔明教演，精锐之兵，容易调遣；吾将不时更换，军又训练不熟：其必出二也。蜀人多以船行，吾军皆是旱地，劳逸不同：其必出三也。狄道、陇西、南安、祁山四处，皆是守战之地；蜀人或声东击西，指南攻北，吾兵必须分头把守；蜀兵合为一处而来，以一分当我四分：其必出四也。若蜀兵自南安、陇西，则可取羌人之谷为食；若出祁山，则有麦可就食：其必出五也。」 || Chapter 113, P113-020: 却说王含、蒋斌因立寨未定，恐魏兵来劫寨，不散解甲而寝。忽闻中军大乱，急焯兵器上的马时，寨外邓忠引兵杀到。内外夹攻，王、蒋二将，奋死抵敌不住，弃寨而走。姜维在帐中听得左寨中大喊，料到有内应外合之兵，遂急上马，立于中军帐前，传令曰：「如有妄动者斩，便有敌兵到营边，休要问他，只管以弓弩射之！」一面传示右营，亦不许妄动。果然魏兵十余次冲击，皆被射回。只冲杀到天明，魏兵不敢杀入。邓艾收兵回寨，乃叹曰：「姜维深得孔明之法！兵在夜而不惊，将闻变而不乱：真将材也！」 || Chapter 115, P115-020: 却说邓艾闻姜维在沓中屯田，于路下四十余营，连络不绝，如长蛇之势。艾遂令细作相了地形，画成图本，具表申奏。晋公司马昭见之，大怒曰：「姜维屡犯中原，不能剿除，是吾心腹之患也。」贾充曰：「姜维深得孔明传授，急难退之。须得一智勇之将，往刺杀之，可免动兵之劳。」从事中郎荀勗曰：「不然：今蜀主刘禅溺于酒色，信用黄皓，大臣皆有避祸之心。姜维在沓中屯田，正避祸之计也。若令大将伐之，无有不胜，何必用刺客乎？」",same_body_paragraph
诸葛瑾,陆逊,5,5,85;96;102;103;108,"Chapter 85, P085-009: 正议之间，忽探马报：「曹真、夏侯尚围了南郡，被陆逊伏兵于内，诸葛瑾伏兵于外，内外夹攻，因此大败。」言未毕，忽探马又报：「曹休亦被吕范杀败。」丕听知三路兵败，乃喟然叹曰：「朕不听贾诩、刘晔之言，果有此败！」时值夏天，大疫流行，马步军十死六七，遂引军回洛阳。吴、魏自此不和。 || Chapter 96, P096-015: 权大喜，乃召陆逊，封为辅国大将军、平北都元帅，统御林大兵，摄行王事；授以白旄黄钺，文武百官，皆听约束。权亲自与逊执鞭。领命谢恩毕，乃保二人为左右都督，分兵以迎三道。权问何人，逊曰：「奋威将军朱桓、妥南将军全琮二人可为辅佐。」权从之，即命朱桓为左都督，全琮为右都督都。于是陆逊总率江南八十一州并荆湖之众七十余万，令朱桓在左，全琮在右，逊自居中，三路进兵。朱桓献策曰：「曹休以亲见任，非智勇之将也。今听周鲂诱言，深入重地，元帅以兵击之，曹休必败。败后必走两条路：左乃夹石，右乃桂车。此二路皆山僻小径，最为险峻。某愿与全子璜各引一军，伏于山险，先以柴木大石塞断其路，曹休可擒矣。若擒了曹休，便长驱直进，唾手而得寿春，以窥许、洛，乃万世一时也。」逊曰：「此非善策，吾自有妙用。」于是朱桓怀不平而退。逊令诸葛瑾等拒守江陵，以敌司马懿。诸路俱各调拨停当。 || Chapter 102, P102-020: 权览毕，大喜，乃谓费袆曰：「朕久欲兴兵，未得会合孔明。今既有书到，即日朕自兴兵，入居巢门，取魏新城﹔再令陆逊、诸葛瑾等屯兵于江夏沔口取襄阳﹔孙韶、张承等出兵广陵取淮阳等处：三路一齐进军，共三十万，（左克右寸）日兴师。」费袆拜谢曰：「诚如此，则中原不日自破矣！」",same_body_paragraph
郭汜,马腾,5,2,10;57,"Chapter 10, P010-003: 且说李傕、郭汜既掌大权，残虐百姓，密遣心腹待帝左右，观其动静。献帝此时举动荆棘。朝廷官员，并由二贼升降。因采人望，特宣朱隽入朝，封为太仆，同领朝政。一日，人报西凉太守马腾、并州刺史韩遂二将引军十余万，杀奔长安来，声言讨贼。原来二将先曾使人入长安，结连侍中马宇、谏议大夫种邵、左中郎将刘范三人为内应，共谋贼党。三人密奏献帝，封马腾为征西将军、韩遂为镇西将军，各受密诏，并力讨贼。 || Chapter 10, P010-004: 当下李傕，郭汜，张济，樊稠闻二军将至，一同商议御敌之策。谋士贾诩曰：「二军远来，只宜深沟高垒，坚守以拒之。不过百日，彼兵粮尽，必将自退，然后引兵追之，二将可擒矣。」李蒙、王方出曰：「此非好计。愿借精兵万人，立斩马腾、韩遂之头，献于麾下。」贾诩曰：「今若即战，必当败绩。」李蒙、王方齐声曰：「若吾二人败，情愿斩首；吾若战胜，公亦当输首级与我。」诩谓李傕、郭汜曰：「长安西二百里盩厔山，其路险崚，可使张、樊两将军屯兵于此，坚壁守之；待李蒙、王方自引兵迎敌，可也。」李傕、郭汜从其言，点一万五千人马与李蒙、王方。二人忻喜而去，离长安二百八十里下寨。西凉兵到，两个引军迎去。西凉军马拦路摆开阵势。马腾、韩遂联辔而出，指李蒙、王方骂曰：「反国之贼！谁去擒之？」 || Chapter 10, P010-007: 李傕、郭汜听知李蒙、王方皆被马超杀了，方信贾诩有先见之明，重用其计，只理会紧守关防，由他搦战，并不出迎。果然西凉军未及两月，粮草俱乏，商议回军。恰好长安城中马宇家僮出首家主与刘范、种邵，外连马腾、韩遂，欲为内应等情。李傕、郭汜大怒，尽收三家少良贱斩于市，把三颗首级，直来门前号令。",same_body_paragraph
陆逊,顾雍,5,4,38;83;86;98,"Chapter 38, P038-017: 却说孙权自孙策死后，据住江东，承父兄基业，广纳贤士，开宾馆于吴会，命顾雍、张纮延接四方宾客。连年以来，你我相荐。时有会稽阚泽，字德润；彭城严畯，字曼才；沛县薛综，字敬文；汝南程秉，字德枢；吴郡朱桓，字休穆；陆绩，字公纪；吴人张温，字惠恕；会稽凌统，字公续；乌程吴粲，字孔休：此数人皆至江东。孙权敬礼甚厚。又得良将数人，乃汝阳吕蒙，字子明，吴郡陆逊，字伯言，瑯琊徐盛，字文向，东郡潘璋，字文珪，庐江丁奉，字承渊。文武诸人，共相辅佐。由此江东称得人之盛。 || Chapter 83, P083-020: 权大惊，举止失措，阚泽出班奏曰：「见有擎天之柱，如何不用耶？」权急问何人。泽曰：「昔日东吴大事，全任周郎；后鲁子敬代之；子敬亡后，决于吕子明；今子明虽丧．见有陆伯言在荆州。此人名虽儒生，实有雄才大略，以臣论之；不在周郎之下；前破关公，其谋皆出于伯言。主上若能用之，破蜀必矣。如或有失，臣愿与同罪。」权曰：「非德润之言，孤误大事。」张昭曰：「陆逊乃一书生耳，非刘备敌手；恐不可用。」顾雍亦曰：「陆逊年幼望轻，恐诸公不服；若不服则生祸乱，必误大事。」步骘亦曰：「逊才堪治郡耳；若托以大事，非其宜也。」阚泽大呼曰：「若不用陆伯言，则东吴休矣！臣愿以全家保之！」权曰：「孤亦素知陆伯言乃奇才也：孤意已决，卿等勿言。」 || Chapter 86, P086-001: 却说东吴陆逊自退魏兵之后，吴王拜逊为辅国将军江陵侯，领荆州牧；自此军权皆归于逊。张昭、顾雍启奏吴王，请自改元。权从之，遂改为黄武元年。忽报魏主遣使至，权召入。使命陈说：「蜀前使人求于魏，魏一时不明，故发兵应之；今已大悔，欲起四路兵取川，东吴可来接应。若得蜀土，各分一半。」",same_body_paragraph
鲁肃,黄盖,5,4,43;44;46;49,"Chapter 43, P043-018: 于是黄盖与鲁肃引孔明入；至中门，正遇诸葛瑾，孔明施礼。瑾曰：「贤弟既到江东，如何不来见我？」孔明曰：「弟既事豫州，理宜先公后私，公事未毕，不敢及私。望兄见谅。」瑾曰：「贤弟见过吴侯，却来叙话。」说罢自去。 || Chapter 44, P044-015: 孔明与鲁肃辞出，相别而去。次日清晨，孙权升堂。左边文官张昭、顾雍等三十余人；右边武官程普、黄盖等三十余人。衣冠济济，剑佩锵锵，分班侍立。 || Chapter 46, P046-028: 众官扶起黄盖，打得皮开肉绽，鲜血迸流，扶归本寨，昏绝几次。动问之人，无不下泪。鲁肃也往看问了，来至孔明船中，谓孔明曰：「今日公瑾怒责公覆，我等皆是他部下，不敢犯颜苦谏。先生是客，何故袖手旁观，不发一语？」孔明笑曰：「子敬欺我。」肃曰：「肃与先生渡江以来，未尝一事相欺。今何出此言？」孔明曰：「子敬岂不知公瑾今日毒打黄公覆，乃其计耶？如何要我劝他？」肃方悟。孔明曰：「不用苦肉计，何能瞒过曹操？今必令黄公覆去诈降，却教蔡中，蔡和报知其事矣。子敬见公瑾时，切勿言亮先知其事，只说亮也埋怨都督便了。」",same_body_paragraph
